nome_ingles,grupo_muscular,gif_url
Cable Rope Overhead Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Rope-Overhead-Triceps-Extension.gif
Lying Barbell Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Triceps-Extension.gif
Dumbbell Skull Crusher,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Skull-Crusher.gif
Dumbbell Incline Two-Arm Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Incline-Two-Arm-Extension.gif
Dumbbell Kickback,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Kickback.gif
Cable Tricep Kickback,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Tricep-Kickback.gif
Bench Dips,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bench-Dips.gif
Triceps Dips,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/02/Triceps-Dips.gif
Parallel Bar Dips,Triceps,https://fitnessprogramer.com/wp-content/uploads/2022/04/parallel-bar-dip.gif
Lever Triceps Dip,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Overhand-Triceps-Dip.gif
Lever Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Tricep-Extension.gif
Seated Dumbbell Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-Dumbbell-Triceps-Extension.gif
Seated One-Arm Dumbbell Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/Seated-One-Arm-Dumbbell-Triceps-Extension.gif
One-Arm Lying Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/One-Arm-Lying-Triceps-Extension.gif
Kneeling Cable Triceps Extension,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-Cable-Extension.gif
Cable Lying Triceps Extensions,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Lying-Triceps-Extensions.gif
Cable Rear Drive,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Rear-Drive.gif
Body Ups,Triceps,https://fitnessprogramer.com/wp-content/uploads/2021/06/Body-Ups.gif
Barbell JM Press,Triceps,https://fitnessprogramer.com/wp-content/uploads/2024/12/Barbell-JM-Press.gif
Barbell Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/BARBELL-SQUAT.gif
Leg Press,Legs,https://fitnessprogramer.com/wp-content/uploads/2015/11/Leg-Press.gif
Leg Extension,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/LEG-EXTENSION.gif
Leg Curl,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Leg-Curl.gif
Seated Leg Curl,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/08/Seated-Leg-Curl.gif
Hack Squats Machine,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Sled-Hack-Squat.gif
Barbell Hack Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hack-Squat.gif
Romanian Deadlift,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Romanian-Deadlift.gif
Good Morning,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Good-Morning.gif
Barbell Sumo Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-sumo-squat.gif
Dumbbell Lunge,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Lunge.gif
Dumbbell Romanian Deadlift,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Romanian-Deadlift.gif
Dumbbell Bulgarian Split Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Bulgarian-Split-Squat.gif
Pistol Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Pistol-Squat.gif
Dumbbell Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/09/Dumbbell-Squat.gif
Dumbbell Goblet Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/01/Dumbbell-Goblet-Squat.gif
Smith Machine Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2024/10/smith-machine-squat.gif
Dumbbell Walking Lunge,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-lunges.gif
Bodyweight Lunge,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/07/bodyweight-lunges.gif
Static Lunge,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/10/Static-Lunge.gif
Dumbbell Deadlift,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-deadlifts.gif
Dumbbell Sumo Deadlift,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif
Dumbbell Good Morning,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/10/Dumbbell-Good-Morning.gif
Dumbbell Cossack Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2024/09/dumbbell-cossack-squat.gif
Plie Dumbbell Squat,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/01/Sumo-Plie-Dumbbell-Squat.gif
Bulgarian Split Squat Jump,Legs,https://fitnessprogramer.com/wp-content/uploads/2023/03/Bulgarian-Jump-Squat.gif
Barbell Hip Thrusts,Glutes,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hip-Thrust.gif
Barbell Glute Bridge Two Legs on Bench,Glutes,https://fitnessprogramer.com/wp-content/uploads/2023/03/Barbell-Glute-Bridge-Two-Legs-on-Bench.gif
Single-Leg Dumbbell Hip Thrust,Glutes,https://fitnessprogramer.com/wp-content/uploads/2025/03/Single-Leg-Dumbbell-Hip-Thrust.gif
Smith Machine Reverse Kickback,Glutes,https://fitnessprogramer.com/wp-content/uploads/2021/06/Smith-Machine-Reverse-Kickback.gif
Curtsy Lunge,Glutes,https://fitnessprogramer.com/wp-content/uploads/2023/09/curtsy-lunge.gif
Bodyweight Standing Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Calf-Raise.gif
Standing Calf Raise With Dumbbell,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Calf-Raise.gif
Standing Barbell Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Barbell-Calf-Raise.gif
Barbell Seated Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Calf-Raise.gif
Lever Seated Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Seated-Calf-Raise.gif
Weighted Seated Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/10/Weighted-Seated-Calf-Raise.gif
Leg Press Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/05/Leg-Press-Calf-Raise.gif
Hack Squat Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/05/Hack-Squat-Calf-Raise.gif
Single Leg Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/06/Single-Leg-Calf-Raises.gif
Donkey Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/09/Donkey-Calf-Raise.gif
Lever Donkey Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/09/Lever-Donkey-Calf-Raise.gif
Hack Machine One-Leg Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/09/Hack-Machine-One-Leg-Calf-Raise.gif
Calf Raise with Resistance Band,Calves,https://fitnessprogramer.com/wp-content/uploads/2022/05/Calf-Raise-with-Resistance-Band.gif
Squat Hold Calf Raise,Calves,https://fitnessprogramer.com/wp-content/uploads/2021/12/Squat-Hold-Calf-Raise.gif
Crunches,Abs,https://fitnessprogramer.com/wp-content/uploads/2015/11/Crunch.gif
Bicycle Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bicycle-Crunch.gif
Reverse Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Reverse-Crunch-1.gif
Kneeling Cable Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Kneeling-Cable-Crunch.gif
Standing Cable Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Cable-Crunch.gif
Leg Raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lying-Leg-Raise.gif
Mountain Climber,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Mountain-climber.gif
Cross Body Mountain Climber,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Body-Mountain-Climber.gif
Seated Bench Leg Pull-in,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Bench-Leg-Pull-in.gif
Alternate Leg Raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/Alternate-Leg-Raises.gif
Lying Scissor Kick,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lying-Scissor-Kick.gif
Oblique Floor Crunches,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Oblique-Floor-Crunches.gif
Dead Bug,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dead-Bug.gif
Decline Sit-up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Decline-Sit-up.gif
Heel Touch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Heel-Touch.gif
Dumbbell Side Bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Side-Bend.gif
Captains Chair Leg Raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Captains-Chair-Leg-Raise.gif
Dragon Flag,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Leg-Raise-Dragon-Flag.gif
Ab Coaster Machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Coaster-Machine.gif
Cross Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Crunch.gif
Weighted Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Weighted-Crunch.gif
Weighted Sit-ups,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/weightedsitups.gif
Incline Leg Hip Raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Incline-Leg-Hip-Raise.gif
Front to Side Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Front-to-Side-Plank.gif
Crunch With Leg Raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crunch-With-Leg-Raise.gif
T-Cross Sit-up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/T-Cross-Sit-up.gif
Spider Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Spider-Plank.gif
Stability Ball Knee Tuck,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Stability-Ball-Knee-Tuck.gif
Medicine Ball Rotational Throw,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/12/Medicine-Ball-Rotational-Throw.gif
High Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/07/High-Plank.gif
Barbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shrug.gif
Dumbbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Shrug.gif
Cable Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shrug.gif
Dumbbell Incline Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Incline-Shrug.gif
Prone Incline Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Decline-Shrug.gif
Lever Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shrug.gif
Lever Gripless Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Gripless-Shrug.gif
Overhead Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-shrug.gif
Behind The Back Barbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2023/03/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif
Smith Machine Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/10/smith-machine-shrug.gif
Face Pull,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Face-Pull.gif
Cable Rear Delt Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-rear-delt-fly.gif
Rear Delt Fly Machine,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Rear-Delt-Machine-Flys.gif
Bent Over Lateral Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Lateral-Raise.gif
Cable Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Upright-Row.gif
Dumbbell Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Upright-Row.gif
Ez Bar Upright Row,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Upright-Row.gif
Band Pull-Apart,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/06/Band-pull-apart.gif
Bent Over Reverse Cable Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif
Incline Dumbbell Reverse Fly,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Reverse-Fly.gif
Barbell Rear Delt Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Rear-Delt-Raise.gif
Incline Dumbbell Y-Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/10/Incline-Dumbbell-Y-Raise.gif
Dumbbell Incline T-Raise,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Incline-T-Raise.gif
Half Kneeling High Cable Row Rope,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Half-Kneeling-High-Cable-Row-Rope.gif
Barbell Reverse Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Reverse-Curl.gif
Dumbbell Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Wrist-Curl.gif
Barbell Reverse Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Barbell-Reverse-Wrist-Curl.gif
Dumbbell Seated Neutral Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Seated-Neutral-Wrist-Curl.gif
Wrist Roller,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/08/wrist-roller.gif
Hand Gripper,Forearms,https://fitnessprogramer.com/wp-content/uploads/2022/01/Hand-Gripper.gif
Cable One-Arm Wrist Curl On Floor,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-One-Arm-Wrist-Curl-On-Floor.gif
Behind The Back Barbell Wrist Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2021/06/Behind-The-Back-Barbell-Wrist-Curl.gif
Cable Single Arm Hammer Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2025/07/cable-single-arm-hammer-curl.gif
Seated Barbell Finger Curl,Forearms,https://fitnessprogramer.com/wp-content/uploads/2025/07/seated-barbell-finger-curl.gif
